kol_video_id,kol_title,kol_views,kol_likes,kol_comments,kol_video_url,,,
7461343279884340000 ,Going deep insearch of black diamond at the depths of 3000 feet #blackdiamondmining #undergroundminers #foryou #coalmining #cave #miner #underground #blackdiamond #coalminers #goldmining #minerals #resources #mining #coalmine #usa_tiktok #goldmine #gold #viral #mineral ,97049110,2028651,38817,https://www.tiktok.com/@Black Diamond/video/7461343279884340513,,,
7464677623650630000 ,"How to Dry Your Socks in the Wild🔥🧦 #camping #survival #bushcraft #Outdoors Wet socks? No problem! Here’s a simple trick: pour hot water into a plastic bottle or metal container, slip your sock over it, and place it near a campfire. To keep your socks from getting wet again in your boots, put a plastic bag over them and head to warmth! ☝️ Important: Be careful with boiling water — plastic bottles ",82700777,1045318,9893,https://www.tiktok.com/@🙋‍♀️Marusya Outdoors🏕️/video/7464677623650635015,,,
7449117375590430000 ,Black Diamond ⛏️ #blackdiamondmining #blackdiamond #goldmining #goldmine #gold #coalmining #coalminers #coal #minerals #diamonds #diamondmining #underground #cave #foryou #hardwork ,75384301,2173479,36526,https://www.tiktok.com/@Black Diamond/video/7449117375590436128,,,
7482950821928250000 ,Black Diamond Mining ⛏️ #Minecraft #blackdiamondmining #minecraftmining #coalmining #coal #gold #miner #mining #blackdiamond #goldmining #tunnel #hiddentreasure #underground #hiddengems #undergroundmining #mininglife #minerals #cave #treasure ,60594387,1946918,28088,https://www.tiktok.com/@Minecraft RealW/video/7482950821928258838,,,
7441006126432350000 ,She’ll understand everything now 😂#headphones #minisoheadphones #miniso #minisoheadphones #overtheearheadphones #translationearbuds #earbuds  ,39166138,1021480,8377,https://www.tiktok.com/@Patrick Nogueira/video/7441006126432357674,,,
7488807092678100000 ,World's Longest Phone Charger @ankerofficial #anker #ankermaggo #poweredbyanker #ankerpowerbank #fypツ #springtok,24085972,368710,1707,https://www.tiktok.com/@_tylerblanchard_/video/7488807092678102302,,,
7462773004313920000 ,Welcome to THAILAND 🇹🇭 ✈️😍  Shot on 🎥 - @insta360_official X4  Get the most unique and creative shots with the #insta360 X4 360 camera 📸😮‍💨     For more information click the insta360 X4 link in my bio 😏 #fyp #foryou #thailand #phuket #life #traveling #airport #plane #beach #sea #insta360 ,24007349,376783,1124,https://www.tiktok.com/@zyair_circus/video/7462773004313922848,,,
7447806714365130000 ,"Susah banget buat hilangin dark spot? Cobain deh INOVASI BARU dari Himalaya Turmeric Dark Spot, kombinasi natural & active ingredients untuk memudarkan dark spot dalam 7 hari 🥰🫶🏻  @Himalaya Indonesia #HimalayaTurmericRange #ReduceDarkSpot7Days",21222730,16013,74,https://www.tiktok.com/@aces👐/video/7447806714365136135,,,
7481465224411760000 ,"#ad Nada mejor que ganar tiempo dejando que algo más haga el trabajo por ti, por eso me encanta @eufy US !  . . . . #eufyC20#eufyOmniC20#eufy#mopvacuum#eufyrobotvacuum#AllInoneRobotVacuum#BrandSelect#Springtok#springcleaning#CleanTok#cleaningtiktok#limpiezanocturna",18462328,618821,3639,https://www.tiktok.com/@Erika | Homedecor/video/7481465224411761962,,,
7478065473662270000 ,Diamond Cut Willow Tea Black.. ,18441662,459222,2081,https://www.tiktok.com/@BelvoirCo/video/7478065473662274838,,,
