selfkoc_post_url,Likes,Comments,Views,Post Date,selfkoc_account,video_id
https://www.instagram.com/1668.louis/reel/DGLIdrvuR9H/,0,,1,4/28/2025,1668.louis,DGLIdrvuR9H
https://www.instagram.com/boogielucla/reel/DGLHBu5R08J/,0,,3,4/28/2025,boogielucla,DGLHBu5R08J
https://www.instagram.com/detocay791/reel/DGLIfy-J40w/,0,,1,4/28/2025,detocay791,DGLIfy-J40w
https://www.instagram.com/bear0342/reel/DGLG-d7xpni/,0,,0,4/28/2025,bear0342,DGLG-d7xpni
https://www.instagram.com/johncox3632/reel/DGLIXv6R6hk/,0,,0,4/28/2025,johncox3632,DGLIXv6R6hk
https://www.instagram.com/bear0342/reel/DI7xH6MM9ly/,2,0,250,4/27/2025,bear0342,DI7xH6MM9ly
https://www.instagram.com/johncox3632/reel/DI7x0ztxWSA/,35,0,13500,4/27/2025,johncox3632,DI7x0ztxWSA
https://www.instagram.com/boogielucla/reel/DI7xHfvxNxY/,3,0,"1,530",4/27/2025,boogielucla,DI7xHfvxNxY
https://www.instagram.com/detocay791/reel/DI7xWT-OGyi/,0,,4,4/27/2025,detocay791,DI7xWT-OGyi
https://www.instagram.com/1668.louis/reel/DI7xnSNuIC0/,16,0,"1,889",4/27/2025,1668.louis,DI7xnSNuIC0
https://www.instagram.com/pritpaulgosawna/reel/DI7raXnxDNL/,225,2,21600,4/27/2025,pritpaulgosawna,DI7raXnxDNL
https://www.instagram.com/pritpaulgosawna/reel/DI6c-O0RZcW/,183,3,21800,4/27/2025,pritpaulgosawna,DI6c-O0RZcW
https://www.instagram.com/fojer56767/reel/DI7rZfeMZRd/,1,0,990,4/27/2025,fojer56767,DI7rZfeMZRd
https://www.instagram.com/fojer56767/reel/DI6c-CmxUPT/,37,0,"8,594",4/27/2025,fojer56767,DI6c-CmxUPT
https://www.instagram.com/hajona8561/reel/DI7rZyEOuwW/,41,0,28300,4/27/2025,hajona8561,DI7rZyEOuwW
https://www.instagram.com/hajona8561/reel/DI6c-BHu-Pa/,41,0,17700,4/27/2025,hajona8561,DI6c-BHu-Pa
