selfkoc_post_url,Likes,Comments,Shares,Post Date,selfkoc_account,video_id
https://www.tiktok.com/@lucky.ley6/video/7498020277956250910,4,0,2,4/28/2025,@lucky.ley6,7498020277956250910
https://www.tiktok.com/@sagehall0/video/7497819152124611886,5,0,0,4/27/2025,@sagehall0,7497819152124611886
https://www.tiktok.com/@marleycampbell5/video/7497820996657925422,54,0,5,4/27/2025,@marleycampbell5,7497820996657925422
https://www.tiktok.com/@nellietucker0/video/7497819135536024874,2,0,0,4/27/2025,@nellietucker0,7497819135536024874
https://www.tiktok.com/@raynesosa/video/7497820004205792554,31,0,5,4/27/2025,@raynesosa,7497820004205792554
https://www.tiktok.com/@leesan007/video/7497820265292762398,6,0,0,4/27/2025,@leesan007,7497820265292762398
https://www.tiktok.com/@hunterezkj8/video/7497806376580812062,41,1,2,4/27/2025,@hunterezkj8,7497806376580812062
https://www.tiktok.com/@hunterezkj8/video/7497628865762839839,9,0,1,4/27/2025,@hunterezkj8,7497628865762839839
https://www.tiktok.com/@lf6ai8wvknt/video/7497806295597059374,34,0,6,4/27/2025,@lf6ai8wvknt,7497806295597059374
https://www.tiktok.com/@lf6ai8wvknt/video/7497628901028629806,7,0,2,4/27/2025,@lf6ai8wvknt,7497628901028629806
https://www.tiktok.com/@schechter.denney/video/7497628884083445034,22,1,2,4/27/2025,@schechter.denney,7497628884083445034
https://www.tiktok.com/@maesftuijv6/video/7497806197462945054,0,0,0,4/27/2025,@maesftuijv6,7497806197462945054
https://www.tiktok.com/@maesftuijv6/video/7497628756153044254,4,0,1,4/27/2025,@maesftuijv6,7497628756153044254
https://www.tiktok.com/@twi662/video/7497806426044108078,0,0,0,4/27/2025,@twi662,7497806426044108078
https://www.tiktok.com/@twi662/video/7497632230701944106,2,0,0,4/27/2025,@twi662,7497632230701944106
https://www.tiktok.com/@sagehall0/video/7497202220887199019,9,0,1,4/26/2025,@sagehall0,7497202220887199019
https://www.tiktok.com/@marleycampbell5/video/7497206810198297898,5,0,1,4/26/2025,@marleycampbell5,7497206810198297898
https://www.tiktok.com/@nellietucker0/video/7497201531142442286,39,0,2,4/26/2025,@nellietucker0,7497201531142442286
https://www.tiktok.com/@raynesosa/video/7497206461227863342,10,1,2,4/26/2025,@raynesosa,7497206461227863342
https://www.tiktok.com/@leesan007/video/7497201665150455070,14,0,0,4/26/2025,@leesan007,7497201665150455070
https://www.tiktok.com/@sagehall0/video/7496920600540138798,4,0,0,4/25/2025,@sagehall0,7496920600540138798
https://www.tiktok.com/@marleycampbell5/video/7496923975386189102,27,1,2,4/25/2025,@marleycampbell5,7496923975386189102
https://www.tiktok.com/@nellietucker0/video/7496919213320195370,5,1,1,4/25/2025,@nellietucker0,7496919213320195370
https://www.tiktok.com/@raynesosa/video/7496922714167414058,42,0,10,4/25/2025,@raynesosa,7496922714167414058
https://www.tiktok.com/@leesan007/video/7496925635663760670,32,0,4,4/25/2025,@leesan007,7496925635663760670
https://www.tiktok.com/@hunterezkj8/video/7497121569714539806,5,1,2,4/25/2025,@hunterezkj8,7497121569714539806
https://www.tiktok.com/@lf6ai8wvknt/video/7496877068148378911,12,2,4,4/25/2025,@lf6ai8wvknt,7496877068148378911
https://www.tiktok.com/@schechter.denney/video/7496877412681010462,3,0,1,4/25/2025,@schechter.denney,7496877412681010462
https://www.tiktok.com/@maesftuijv6/video/7496876841546927391,6,0,0,4/25/2025,@maesftuijv6,7496876841546927391
https://www.tiktok.com/@lucky.ley6/video/7496868856812588319,19,1,1,4/25/2025,@lucky.ley6,7496868856812588319
https://www.tiktok.com/@twi662/video/7496876989811363103,0,0,0,4/25/2025,@twi662,7496876989811363103
https://www.tiktok.com/@sagehall0/video/7496516914877893930,23,1,3,4/24/2025,@sagehall0,7496516914877893930
https://www.tiktok.com/@marleycampbell5/video/7496517036672240942,49,0,12,4/24/2025,@marleycampbell5,7496517036672240942
https://www.tiktok.com/@nellietucker0/video/7496551117141151018,13,0,0,4/24/2025,@nellietucker0,7496551117141151018
https://www.tiktok.com/@raynesosa/video/7496535066739297578,29,0,1,4/24/2025,@raynesosa,7496535066739297578
https://www.tiktok.com/@leesan007/video/7496535534601391391,12,0,0,4/24/2025,@leesan007,7496535534601391391
https://www.tiktok.com/@hunterezkj8/video/7496507006036086047,56,0,10,4/24/2025,@hunterezkj8,7496507006036086047
https://www.tiktok.com/@lf6ai8wvknt/video/7496507099757874478,20,0,4,4/24/2025,@lf6ai8wvknt,7496507099757874478
https://www.tiktok.com/@schechter.denney/video/7496506963203820846,52,0,9,4/24/2025,@schechter.denney,7496506963203820846
https://www.tiktok.com/@maesftuijv6/video/7496506901723663646,17,0,4,4/24/2025,@maesftuijv6,7496506901723663646
https://www.tiktok.com/@lucky.ley6/video/7496489244957953311,2,1,0,4/24/2025,@lucky.ley6,7496489244957953311
https://www.tiktok.com/@twi662/video/7496507495922322734,11,0,0,4/24/2025,@twi662,7496507495922322734
https://www.tiktok.com/@sagehall0/video/7496090076951268654,19,0,3,4/23/2025,@sagehall0,7496090076951268654
https://www.tiktok.com/@marleycampbell5/video/7496090294887238958,29,0,4,4/23/2025,@marleycampbell5,7496090294887238958
https://www.tiktok.com/@marleycampbell5/video/7496090296057482542,15,0,1,4/23/2025,@marleycampbell5,7496090296057482542
https://www.tiktok.com/@nellietucker0/video/7496148805864262958,8,0,0,4/23/2025,@nellietucker0,7496148805864262958
https://www.tiktok.com/@raynesosa/video/7496147457596837163,23,1,2,4/23/2025,@raynesosa,7496147457596837163
https://www.tiktok.com/@leesan007/video/7496147258350587166,52,2,7,4/23/2025,@leesan007,7496147258350587166
https://www.tiktok.com/@hunterezkj8/video/7496148794124291358,17,1,1,4/23/2025,@hunterezkj8,7496148794124291358
https://www.tiktok.com/@lf6ai8wvknt/video/7496147463552716075,13,0,4,4/23/2025,@lf6ai8wvknt,7496147463552716075
https://www.tiktok.com/@schechter.denney/video/7496147131091127595,7,0,0,4/23/2025,@schechter.denney,7496147131091127595
https://www.tiktok.com/@maesftuijv6/video/7496147512533781790,5,1,0,4/23/2025,@maesftuijv6,7496147512533781790
https://www.tiktok.com/@lucky.ley6/video/7496124632639048991,24,0,4,4/23/2025,@lucky.ley6,7496124632639048991
https://www.tiktok.com/@twi662/video/7496147473556114734,4,0,0,4/23/2025,@twi662,7496147473556114734
https://www.tiktok.com/@hunterezkj8/video/7495959535014694174,28,1,5,4/22/2025,@hunterezkj8,7495959535014694174
https://www.tiktok.com/@lf6ai8wvknt/video/7495959612135378219,18,0,4,4/22/2025,@lf6ai8wvknt,7495959612135378219
https://www.tiktok.com/@schechter.denney/video/7495959237999332651,9,0,1,4/22/2025,@schechter.denney,7495959237999332651
https://www.tiktok.com/@maesftuijv6/video/7495959410041179422,78,1,8,4/22/2025,@maesftuijv6,7495959410041179422
https://www.tiktok.com/@twi662/video/7495959539569790250,71,1,8,4/22/2025,@twi662,7495959539569790250
https://www.tiktok.com/@twi662/video/7495589655455501614,18,1,1,4/21/2025,@twi662,7495589655455501614
