Post Url,Likes,Comments,Views,Post Date,selfkoc,video_id
https://www.instagram.com/jacksonconstanciaia8/reel/DHCqWPwuOXf/,0,,20,2025-03-11,jacksonconstanciaia8,DHCqWPwuOXf
https://www.instagram.com/jacksonconstanciaia8/reel/DHBgyTuOHxO/,0,,143,2025-03-11,jacksonconstanciaia8,DHBgyTuOHxO
https://www.instagram.com/pruittcodykjb/reel/DHCqWGitylB/,0,,62,2025-03-11,pruittcodykjb,DHCqWGitylB
https://www.instagram.com/stassibusher152/reel/DHCqWPZJWFg/,0,,21,2025-03-11,stassibusher152,DHCqWPZJWFg
https://www.instagram.com/harpercalhx1ds/reel/DHCqWJuOhKY/,0,,134,2025-03-11,harpercalhx1ds,DHCqWJuOhKY
https://www.instagram.com/elliottbruce7tp389/reel/DHCtx2Lg_MC/,0,,191,2025-03-11,elliottbruce7tp389,DHCtx2Lg_MC
https://www.instagram.com/elliottbruce7tp389/reel/DHBnW4aAaY3/,0,,123,2025-03-11,elliottbruce7tp389,DHBnW4aAaY3
https://www.instagram.com/inglesenicewander368/reel/DHCu2fBNEIX/,0,,143,2025-03-11,inglesenicewander368,DHCu2fBNEIX
https://www.instagram.com/inglesenicewander368/reel/DHBnWzVOIXw/,2,0,167,2025-03-11,inglesenicewander368,DHBnWzVOIXw
https://www.instagram.com/rodgersaustini3q/reel/DHCvTKfsMXi/,0,,0,2025-03-11,rodgersaustini3q,DHCvTKfsMXi
https://www.instagram.com/rodgersaustini3q/reel/DHBnW5-OIa2/,4,0,"1,683",2025-03-11,rodgersaustini3q,DHBnW5-OIa2
https://www.instagram.com/leejonasf55gogu/reel/DHCvxE4xdYF/,1,0,104,2025-03-11,leejonasf55gogu,DHCvxE4xdYF
https://www.instagram.com/leejonasf55gogu/reel/DHBnW5WxPzl/,2,0,"2,010",2025-03-11,leejonasf55gogu,DHBnW5WxPzl
https://www.instagram.com/jacksonconstanciaia8/reel/DG-x_B9OSkJ/,5,0,"1,467",2025-03-10,jacksonconstanciaia8,DG-x_B9OSkJ
https://www.instagram.com/pruittcodykjb/reel/DHBgyKnuaBp/,1,0,546,2025-03-10,pruittcodykjb,DHBgyKnuaBp
https://www.instagram.com/pruittcodykjb/reel/DG-x-9kOQ2Q/,1,0,"1,593",2025-03-10,pruittcodykjb,DG-x-9kOQ2Q
https://www.instagram.com/stassibusher152/reel/DHBgyLCJEr7/,0,,389,2025-03-10,stassibusher152,DHBgyLCJEr7
https://www.instagram.com/stassibusher152/reel/DG-x-uOpCyS/,4,0,"1,780",2025-03-10,stassibusher152,DG-x-uOpCyS
https://www.instagram.com/harpercalhx1ds/reel/DHBgyQ1OpPg/,0,,598,2025-03-10,harpercalhx1ds,DHBgyQ1OpPg
https://www.instagram.com/harpercalhx1ds/reel/DG-x-zIO5Q2/,12,0,"1,979",2025-03-10,harpercalhx1ds,DG-x-zIO5Q2
https://www.instagram.com/inglesenicewander368/reel/DG-390YO-Tp/,7,0,"1,706",2025-03-10,inglesenicewander368,DG-390YO-Tp
https://www.instagram.com/rodgersaustini3q/reel/DG-4BiQOIDc/,0,,150,2025-03-10,rodgersaustini3q,DG-4BiQOIDc
https://www.instagram.com/leejonasf55gogu/reel/DG-37Q6xG1p/,2,0,"2,037",2025-03-10,leejonasf55gogu,DG-37Q6xG1p
https://www.instagram.com/neakasa_us/reel/DHBIlviMj9K/,38,0,"4,854",2025-03-10,neakasa_us,DHBIlviMj9K
https://www.instagram.com/neakasa_us/reel/DG-44bQMGxd/,42,0,"6,018",2025-03-10,neakasa_us,DG-44bQMGxd
https://www.instagram.com/ariaspaulsa9g57/reel/DHBIowfxPCx/,3,0,233,2025-03-10,ariaspaulsa9g57,DHBIowfxPCx
https://www.instagram.com/fowlercarlq5l2znp/reel/DHBIIZNRNT3/,1,0,128,2025-03-10,fowlercarlq5l2znp,DHBIIZNRNT3
https://www.instagram.com/fowlercarlq5l2znp/reel/DG-4IHJRqfx/,4,0,"1,757",2025-03-10,fowlercarlq5l2znp,DG-4IHJRqfx
https://www.instagram.com/jacksonconstanciaia8/reel/DG5l7eRu2kh/,7,0,"2,064",2025-03-08,jacksonconstanciaia8,DG5l7eRu2kh
https://www.instagram.com/pruittcodykjb/reel/DG5l7ZdOJ4V/,5,0,"2,254",2025-03-08,pruittcodykjb,DG5l7ZdOJ4V
https://www.instagram.com/stassibusher152/reel/DG5l7UsJcKn/,2,0,"1,616",2025-03-08,stassibusher152,DG5l7UsJcKn
https://www.instagram.com/harpercalhx1ds/reel/DG5l7gOu9oc/,6,0,"1,595",2025-03-08,harpercalhx1ds,DG5l7gOu9oc
https://www.instagram.com/elliottbruce7tp389/reel/DG5pt35AS65/,0,,138,2025-03-08,elliottbruce7tp389,DG5pt35AS65
https://www.instagram.com/inglesenicewander368/reel/DG5ptntOUSD/,12,0,"2,451",2025-03-08,inglesenicewander368,DG5ptntOUSD
https://www.instagram.com/rodgersaustini3q/reel/DG5ptsyO2QW/,1,0,139,2025-03-08,rodgersaustini3q,DG5ptsyO2QW
https://www.instagram.com/leejonasf55gogu/reel/DG5pt3lRX_K/,2,0,"4,435",2025-03-08,leejonasf55gogu,DG5pt3lRX_K
https://www.instagram.com/neakasa_us/reel/DG5Vl8wRlMD/,56,2,"5,363",2025-03-08,neakasa_us,DG5Vl8wRlMD
https://www.instagram.com/ariaspaulsa9g57/reel/DG5V3ZORtuC/,1,0,153,2025-03-08,ariaspaulsa9g57,DG5V3ZORtuC
https://www.instagram.com/fowlercarlq5l2znp/reel/DG5VvWQRftQ/,0,,162,2025-03-08,fowlercarlq5l2znp,DG5VvWQRftQ
https://www.instagram.com/jacksonconstanciaia8/reel/DG3FTpXuZOn/,9,0,"1,990",2025-03-07,jacksonconstanciaia8,DG3FTpXuZOn
https://www.instagram.com/pruittcodykjb/reel/DG3FUOvxrsj/,4,0,"1,626",2025-03-07,pruittcodykjb,DG3FUOvxrsj
