Post Url,Likes,Comments,Views,Post Date,selfkoc,video_id
https://www.youtube.com//shorts/iche6xzXisM,10,0,420,2025-03-11,@AlardoRichter,iche6xzXisM
https://www.youtube.com//shorts/ZueXREoGFuA,7,0,478,2025-03-11,@ParrisWoods-r7x,ZueXREoGFuA
https://www.youtube.com//shorts/0_3R9mi6aI8,8,0,462,2025-03-11,@MelissaBailey-b9c,0_3R9mi6aI8
https://www.youtube.com//shorts/zaonm_N43ew,10,1,631,2025-03-11,@LamontMears,zaonm_N43ew
https://www.youtube.com//shorts/S_519S_tnMU,11,0,441,2025-03-11,@JasonGarrison-u8s,S_519S_tnMU
https://www.youtube.com//shorts/7Y-w5PvYfwY,1,0,428,2025-03-07,@AlardoRichter,7Y-w5PvYfwY
https://www.youtube.com//shorts/i49sA67tE4I,8,0,434,2025-03-07,@ParrisWoods-r7x,i49sA67tE4I
https://www.youtube.com//shorts/dceURjHJmq0,17,1,1709,2025-03-07,@MelissaBailey-b9c,dceURjHJmq0
https://www.youtube.com//shorts/38jLl3SFQQ0,47,0,6161,2025-03-07,@LamontMears,38jLl3SFQQ0
https://www.youtube.com//shorts/aiRXopm3_LQ,4,0,447,2025-03-07,@JasonGarrison-u8s,aiRXopm3_LQ
https://www.youtube.com//shorts/wp4b4a4pMDU,13,0,463,2025-03-07,@ChristopherPerez-f3r,wp4b4a4pMDU
https://www.youtube.com//shorts/OaX12UJveHc,40,0,7776,2025-03-07,@ChristopherPerez-f3r,OaX12UJveHc
https://www.youtube.com//shorts/78i-uUAoavE,14,0,428,2025-03-06,@AlardoRichter,78i-uUAoavE
https://www.youtube.com//shorts/MXzrw7CIgdU,4,0,424,2025-03-06,@ParrisWoods-r7x,MXzrw7CIgdU
https://www.youtube.com//shorts/6uDf-CpcLVc,6,0,427,2025-03-06,@MelissaBailey-b9c,6uDf-CpcLVc
https://www.youtube.com//shorts/0YuxTR1X_Pc,25,2,5990,2025-03-06,@LamontMears,0YuxTR1X_Pc
https://www.youtube.com//shorts/Xfz2CKT3FFo,12,0,510,2025-03-06,@JasonGarrison-u8s,Xfz2CKT3FFo
https://www.youtube.com//shorts/afgNloee_cw,1,0,23,2025-03-05,@AlardoRichter,afgNloee_cw
https://www.youtube.com//shorts/01GV9-tcrhY,8,0,419,2025-03-05,@ParrisWoods-r7x,01GV9-tcrhY
https://www.youtube.com//shorts/OJx1DAn9_wk,2,0,449,2025-03-05,@MelissaBailey-b9c,OJx1DAn9_wk
https://www.youtube.com//shorts/n5ltLpevBbo,25,0,3067,2025-03-05,@LamontMears,n5ltLpevBbo
https://www.youtube.com//shorts/B2rgSoiwxQ4,8,0,416,2025-03-05,@JasonGarrison-u8s,B2rgSoiwxQ4
https://www.youtube.com//shorts/n5ORE1hhkG8,58,0,4708,2025-03-05,@ChristopherPerez-f3r,n5ORE1hhkG8
https://www.youtube.com//shorts/2Ox5Iq2_wzE,7,0,463,2025-03-04,@AlardoRichter,2Ox5Iq2_wzE
https://www.youtube.com//shorts/8wd5zRYovFc,1,0,7776,2025-03-04,@ParrisWoods-r7x,8wd5zRYovFc
https://www.youtube.com//shorts/ElxIVKG6vpg,7,0,428,2025-03-04,@MelissaBailey-b9c,ElxIVKG6vpg
https://www.youtube.com//shorts/PPY_W9chCzo,7,0,424,2025-03-04,@LamontMears,PPY_W9chCzo
https://www.youtube.com//shorts/kv0__FN-ygU,7,0,427,2025-03-04,@JasonGarrison-u8s,kv0__FN-ygU
https://www.youtube.com//shorts/ULsY9uyRxKQ,7,0,427,2025-03-04,@ChristopherPerez-f3r,ULsY9uyRxKQ
https://www.youtube.com//shorts/_9f9EfFWWDk,8,0,515,2025-03-04,@AlardoRichter,_9f9EfFWWDk
https://www.youtube.com//shorts/Gm7CD0hhyJk,14,0,566,2025-03-04,@ParrisWoods-r7x,Gm7CD0hhyJk
https://www.youtube.com//shorts/XVt9OCrmQ-Q,15,0,1002,2025-03-04,@MelissaBailey-b9c,XVt9OCrmQ-Q
https://www.youtube.com//shorts/PBpyP9No3AU,17,0,1772,2025-03-04,@LamontMears,PBpyP9No3AU
https://www.youtube.com//shorts/Zw2-64dwZ5w,5,0,415,2025-03-04,@JasonGarrison-u8s,Zw2-64dwZ5w
https://www.youtube.com//shorts/-aJcapbZdnQ,3,0,838,2025-03-04,@ChristopherPerez-f3r,-aJcapbZdnQ
https://www.youtube.com//shorts/E7xR9dZwGmc,2,0,417,2025-02-28,@AlardoRichter,E7xR9dZwGmc
https://www.youtube.com//shorts/Sri3e6gQA78,14,0,436,2025-02-28,@ParrisWoods-r7x,Sri3e6gQA78
https://www.youtube.com//shorts/4vtEHImvx00,59,1,3123,2025-02-28,@MelissaBailey-b9c,4vtEHImvx00
https://www.youtube.com//shorts/D0xNfX289Ds,25,0,3353,2025-02-28,@LamontMears,D0xNfX289Ds
https://www.youtube.com//shorts/0JCJ2yuHfGQ,5,0,449,2025-02-28,@JasonGarrison-u8s,0JCJ2yuHfGQ
https://www.youtube.com//shorts/WlVIa3wZwqM,7,1,428,2025-02-28,@ChristopherPerez-f3r,WlVIa3wZwqM
https://www.youtube.com//shorts/c_z5rbX-2W8,5,0,455,2025-02-27,@AlardoRichter,c_z5rbX-2W8
https://www.youtube.com//shorts/wt6dDGwdwlI,2,0,421,2025-02-27,@ParrisWoods-r7x,wt6dDGwdwlI
https://www.youtube.com//shorts/IrruPu4HGrU,4,0,450,2025-02-27,@MelissaBailey-b9c,IrruPu4HGrU
https://www.youtube.com//shorts/tFOTXM44spo,5,0,422,2025-02-27,@LamontMears,tFOTXM44spo
https://www.youtube.com//shorts/lQWr-WtBwic,8,0,450,2025-02-27,@JasonGarrison-u8s,lQWr-WtBwic
